SampleID	Rx	sex	SiteType	Sampled_by	Date	Latitude	SampleCategory	ShotgunEndo	ShotgunClonality					
A955_Bisonspp_Siberia_59100	0.929704597	F	Marine	Ian_Barnes	59100	75.266563	Longbone	0.32341468	0.010834204					
A1040-BHC23-04_Bisonspp_BykovskyPeninsulaSiberia_59723	0.524135533	M	Marine	Ian_Barnes	59723	71.10863	NA	0.400115298	0.036859174					
A1460_Bisonspp_AmalonRiverSiberia_60272	0.904831602	F	Riverine	Ian_Barnes	60272	71.16	Longbone	0.057445951	0.121662052					
A1059_Bisonspp_BlackRiverYukonFlatsCanada_60723	0.516469598	M	Riverine	Alan_Cooper	60723	66.654	Longbone	0.020225739	0.009028072					
A900_Bisonspp_DawsonareaCrippleHill_62400INF	0.5084055	M	Riverine	Alan_and_Beth	62400	64.0078	Longbone	0.03559661	0.280642122					
A1016_Bisonspp_StanchikovskyYar1.5KmUpstreamSiberia_63200	0.860633829	F	Riverine	Ian_Barnes	63200	68.275	Longbone	0.009529396	0.037539795					
A1022-BHC24-09_Bisonspp_Dawsonarea80PupHunkercreek_INF	0.514841829	M	Riverine	Alan_and_Beth	64062	64.0052778	Longbone	0.169195463	0.068578141					
A996_Bisonspp_DuvanyYarSiberia_65200	0.520705689	M	Riverine	Ian_Barnes	65200	68.6166667	NA	0.236622134	0.009413487					
A1037-BHC24-15_Bisonspp_SheepCrFairbanksAK_INF	0.925499504	F	Riverine	Alan_Cooper	66460	64.91666667	Crania	0.11960069	0.013461166					
A1019_Bisonspp_StanchkivoskyYarSiberia_ND	0.508267518	M	Riverine	Ian_Barnes	NA	68.275	Longbone	0.129146349	0.017657891					
A16151_Bpriscus_CanyonCkFrozenTibia_ND	0.943556232	F	Riverine	Cooper/Rabanus/Soubrier	NA	63.8189	Longbone	0.147037099	0.004242719					
A17401_Bbonasus_Slovenia_Pleistocene	0.92110486	F	NA	E._Hofman-Kami_ska	NA	46.03041	Longbone	0.007829874	0.012136037					
