Bubalus quarlesi	1	0	1.00
Budorcas taxicolor	11	13	0.46
Bullimus bagobus	3	2	0.60
Bullimus luzonicus	0	2	0.00
Bunolagus monticularis	2	0	1.00
Bunomys andrewsi	43	36	0.54
Bunomys chrysocomus	200	189	0.51
Bunomys coelestis	16	15	0.52
Bunomys fratrorum	2	0	1.00
Bunomys penitus	161	157	0.51
Bunomys prolatus	2	1	0.67
Bunopithecus hoolock	32	34	0.48
Cabassous centralis	0	2	0.00
Cabassous unicinctus	15	12	0.56
Cacajao calvus	21	13	0.62
Cacajao melanocephalus	5	7	0.42
Caenolestes caniventer	13	5	0.72
Caenolestes convelatus	5	6	0.45
Caenolestes fuliginosus	141	112	0.56
Calcochloris obtusirostris	6	2	0.75
Callicebus brunneus	5	3	0.62
Callicebus caligatus	4	2	0.67
Callicebus cupreus	50	30	0.62
Callicebus donacophilus	8	7	0.53
Callicebus hoffmannsi	13	17	0.43
Callicebus moloch	78	87	0.47
Callicebus oenanthe	2	1	0.67
Callicebus pallescens	2	0	1.00
Callicebus personatus	20	13	0.61
Callicebus torquatus	56	53	0.51
Callimico goeldii	7	10	0.41
Callithrix argentata	51	41	0.55
Callithrix humeralifer	3	0	1.00
Callithrix jacchus	92	80	0.53
Callithrix penicillata	4	6	0.40
Callithrix pygmaea	22	16	0.58
Callorhinus ursinus	48	31	0.61
Callosciurus caniceps	11	11	0.50
Callosciurus caniceps ?	0	2	0.00
Callosciurus erythraeus	334	324	0.51
Callosciurus finlaysonii	21	17	0.55
Callosciurus flavimanus	3	0	1.00
Callosciurus inornatus	9	8	0.53
Callosciurus melanogaster	13	11	0.54
Callosciurus nigrovittatus	34	30	0.53
Callosciurus nigrovittatus ?	1	0	1.00
Callosciurus notatus	91	98	0.48
Callosciurus orestes	0	1	0.00
Callosciurus oresti	1	0	1.00
Callosciurus palmarum	2	0	1.00
Callosciurus prevosti	2	0	1.00
Callosciurus prevostii	66	49	0.57
Callosciurus pygerythrus	72	55	0.57
Callosciurus quinquestriatus	2	0	1.00
Calomys boliviae	25	20	0.56
Calomys callidus	6	15	0.29
Calomys callosus	328	247	0.57
Calomys expulsus	2	4	0.33
Calomys laucha	64	44	0.59
Calomys lepidus	49	23	0.68
Calomys musculinus	131	101	0.56
Calomys sorellus	128	102	0.56
Calomys tener	14	8	0.64
Calomys venustus	96	88	0.52
Calomyscus bailwardi	44	34	0.56
Calomyscus baluchi	24	10	0.71
Calomyscus hotsoni	1	2	0.33
Calomyscus mystax	1	4	0.20
Caloprymnus campestris	4	0	1.00
Caluromys derbianus	33	23	0.59
Caluromys derbianus -> lanatus	0	2	0.00
Caluromys lanatus	27	23	0.54
Caluromys laniger	2	0	1.00
Caluromys philander	72	79	0.48
Caluromys trinitatis	2	2	0.50
Caluromysiops irrupta	0	1	0.00
Camelus bactrianus	9	9	0.50
Camelus dromedarius	7	9	0.44
Canis adustus	16	24	0.40
Canis aureus	11	14	0.44
Canis dingo	0	2	0.00
Canis familiaris	27	11	0.71
Canis familiaris ?	0	1	0.00
Canis indicus	2	0	1.00
Canis latrans	183	143	0.56
Canis latrans ?	1	1	0.50
Canis lupus	222	125	0.64
Canis mesomelas	27	23	0.54
Canis simensis	1	2	0.33
Canis sp	0	2	0.00
Cannomys badius	13	17	0.43
Caperea marginata	0	2	0.00
Capra aegagrus	1	1	0.50
Capra caucasica	8	4	0.67
Capra falconeri	11	1	0.92
Capra hircus	48	26	0.65
Capra ibex	48	20	0.71
Capra nubiana	5	0	1.00
Capra pyrenaica	7	6	0.54
Capra sibirica	4	0	1.00
Capra walie	3	0	1.00
Capra warryato	0	1	0.00
Capreolus bedfordi	0	2	0.00
Capreolus capreolus	92	50	0.65
Capreolus coxi	2	0	1.00
Capreolus leucotis	0	1	0.00
Caprolagus hispidus	1	1	0.50
Capromys pilorides	14	7	0.67
Caracal caracal	7	7	0.50
Caracal serval	1	0	1.00
Cardiocranius paradoxus	0	1	0.00
Cardioderma cor	153	158	0.49
Carollia Perspicillata	1	2	0.33
Carollia benkeithi	0	1	0.00
Carollia brevicauda	586	570	0.51
Carollia castanea	129	122	0.51
Carollia castanea; perspicillata ?	1	0	1.00
Carollia castanea; subrufa ?	0	1	0.00
Carollia perspicillata	2864	3249	0.47
Carollia perspicillata ?	0	1	0.00
Carollia sowelli	55	127	0.30
Carollia sp	267	414	0.39
Carollia subrufa	96	107	0.47
Carollia ? perspicillata ?	1	2	0.33
Carollia ? sp	1	1	0.50
Carpomys melanurus	1	4	0.20
Carpomys phaeurus	1	4	0.20
Carterodon sulcidens	1	1	0.50
Caryomys eva	25	20	0.56
Caryomys inez	29	23	0.56
Casinycteris argynnis	1	3	0.25
Castor canadensis	187	181	0.51
Castor fiber	6	5	0.55
Catachlorops capreolus	0	4	0.00
Catopuma temminckii	5	4	0.56
Cavia aperea	20	34	0.37
Cavia fulgida	2	1	0.67
Cavia fulgida ?	0	2	0.00
Cavia guianae	6	1	0.86
Cavia porcellus	19	21	0.47
Cavia tschudii	3	2	0.60
Cebuella pygmaea	3	3	0.50
Cebus albifrons	179	117	0.60
Cebus apella	503	352	0.59
Cebus capucinus	108	86	0.56
Cebus capucinus ?	0	1	0.00
Cebus olivaceus	62	31	0.67
Centronycteris centralis	0	2	0.00
Centronycteris maximiliani	8	5	0.62
Centropus monachus	2	2	0.50
Centurio senex	49	84	0.37
Cephalophus adersi	0	3	0.00
Cephalophus brookei	2	0	1.00
Cephalophus callipygus	1	4	0.20
Cephalophus dorsalis	29	38	0.43
Cephalophus grimmia	1	0	1.00
Cephalophus leucogaster	57	39	0.59
Cephalophus monticola	3	1	0.75
Cephalophus natalensis	11	5	0.69
Cephalophus niger	6	7	0.46
Cephalophus nigrifrons	42	31	0.58
Cephalophus ogilbyi	3	2	0.60
Cephalophus rufilatus	20	7	0.74
Cephalophus silvicultor	27	26	0.51
Cephalophus sp	1	0	1.00
Cephalophus spadix	4	0	1.00
Cephalophus weynsi	47	44	0.52
Cephalophus zebra	1	0	1.00
Cephalorhynchus heavisidii	1	0	1.00
Cephalotes aello	2	0	1.00
Ceratotherium simum	33	37	0.47
Cercartetus caudatus	73	76	0.49
Cercartetus concinnus	13	9	0.59
Cercartetus lepidus	2	0	1.00
Cercartetus nanus	4	4	0.50
Cercocebus agilis	20	16	0.56
Cercocebus atys	21	10	0.68
Cercocebus chrysogaster	2	0	1.00
Cercocebus galeritus	21	21	0.50
Cercocebus torquatus	75	36	0.68
Cercopithecus aethiops	1	0	1.00
Cercopithecus albogularis	40	58	0.41
Cercopithecus ascanius	149	81	0.65
Cercopithecus campbelli	53	54	0.50
Cercopithecus cephus	45	38	0.54
Cercopithecus denti	14	7	0.67
Cercopithecus diana	33	23	0.59
Cercopithecus dryas	2	0	1.00
Cercopithecus erythrogaster	25	21	0.54
Cercopithecus erythrotis	32	19	0.63
Cercopithecus hamlyni	7	4	0.64
Cercopithecus leucampyx	0	2	0.00
Cercopithecus lhoesti	11	17	0.39
Cercopithecus mitis	352	264	0.57
Cercopithecus mona	137	94	0.59
Cercopithecus neglectus	76	61	0.55
Cercopithecus nictitans	68	74	0.48
Cercopithecus petaurista	59	64	0.48
Cercopithecus pogonias	33	22	0.60
Cercopithecus preussi	15	9	0.62
Cercopithecus sclateri	13	16	0.45
Cercopithecus solatus	6	6	0.50
Cercopithecus wolfi	10	3	0.77
Cerdocyon thous	61	47	0.56
Cervicapra redunca	2	0	1.00
Cervus axis	3	0	1.00
Cervus canadensis	22	8	0.73
Cervus dama	0	2	0.00
Cervus duvauceli	2	3	0.40
Cervus elaphus	151	65	0.70
Cervus mesopotamicus	2	0	1.00
Cervus mexicanus	1	0	1.00
Cervus nippon	20	6	0.77
Cervus nippon x elephu	1	0	1.00
Cervus porcinus	0	1	0.00
Cervus unicolor	1	2	0.33
Chaerephon aloysiisabaudiae	1	0	1.00
Chaerephon ansorgei	10	6	0.62
Chaerephon bemmeleni	1	0	1.00
Chaerephon bivittatus	4	1	0.80
Chaerephon chapini	7	0	1.00
Chaerephon jobensis	26	39	0.40
Chaerephon johorensis	1	5	0.17
Chaerephon leucogaster	48	25	0.66
Chaerephon major	29	47	0.38
Chaerephon nigeriae	41	66	0.38
Chaerephon plicata	38	31	0.55
Chaerephon plicatus	47	73	0.39
Chaerephon pumila	15	43	0.26
Chaerephon pumilus	109	159	0.41
Chaerephon russatus	6	21	0.22
Chaerephon shortridgei	1	0	1.00
Chaerephon solomonis	1	3	0.25
Chaerophon gallagheri	1	0	1.00
Chaeropus ecaudatus	0	2	0.00
Chaeropus occidentalis	0	3	0.00
Chaetodipus arenarius	3	3	0.50
Chaetodipus artus	1	1	0.50
Chaetodipus baileyi	22	19	0.54
Chaetodipus californicus	29	10	0.74
Chaetodipus fallax	15	13	0.54
Chaetodipus formosus	15	7	0.68
Chaetodipus hispidus	57	26	0.69
Chaetodipus intermedius	20	10	0.67
Chaetodipus nelsoni	8	2	0.80
Chaetodipus penicillatus	78	60	0.57
Chaetodipus penicillatus ?	1	0	1.00
Chaetodipus pernix	33	22	0.60
Chaetodipus spinatus	32	8	0.80
Chaetomys subspinosus	1	0	1.00
Chaetophractus vellerosus	3	1	0.75
Chaetophractus villosus	1	1	0.50
Chalinolobus argentatus	11	2	0.85
Chalinolobus beatrix	1	2	0.33
Chalinolobus dwyeri	1	0	1.00
Chalinolobus egeria	2	0	1.00
Chalinolobus gouldii	55	103	0.35
Chalinolobus morio	10	13	0.43
Chalinolobus nigrogriseus	19	25	0.43
Chalinolobus picatus	1	5	0.17
Chalinolobus superbus	0	2	0.00
Chalinolobus tuberculatus	2	3	0.40
Chalinolobus variegatus	1	0	1.00
Chalinolobus variegetus	0	2	0.00
Chamaeleo monachus	8	3	0.73
Cheirogaleus adipicaudatus	2	2	0.50
Cheirogaleus crossleyi	0	2	0.00
Cheirogaleus major	19	5	0.79
Cheirogaleus medius	12	10	0.55
Cheirogaleus sibreei	3	0	1.00
