sample	site_type	material	material2	collection	lat	lon	alt	age	endog	Rx	sex	Nx	Na	Lx	La	GC	readlen	C2T	G2A	alpine
A293	Sediment	LongBone	Postcrania	Museum	64.837172	212.021	153.3	53900	0.57224901	0.882987622152	F	784	18474	102269301	2115901698	0.448007	66.2582	0.0497977	0.0258522	nonAlps
A306	Sediment	Ulna	Postcrania	Museum	64.8333333	212	153	20820	0.408762489	0.459041983242	M	418	18877	102269301	2115901698	0.455177	64.4793	0.0469048	0.0572735	nonAlps
A312	Sediment	Tooth	Crania	Museum	64.8333333	212	153	10015	0.102789096	0.499536978199	M	459	19011	102269301	2115901698	0.458238	66.5166	0.136049	0.0779874	nonAlps
A323	Sediment	LongBone	Postcrania	Museum	64.8333333	212	153	14150	0.024220476	0.933464008289	F	828	18411	102269301	2115901698	0.452655	70.1506	0.0996299	0.0868407	nonAlps
A331	Sediment	Crania	Crania	Museum	65	213	203.6	19027	0.014554814	0.470498777918	M	386	16998	102269301	2115901698	0.471011	64.1536	0.0582701	0.0652706	nonAlps
A338	Cave	NA	NA	Museum	58.135206	-4.933057	267.2	2673	0.012263297	0.900243053797	F	312	7205	102269301	2115901698	0.414438	65.422	0.0629139	0.0246711	nonAlps
A339	Cave	NA	NA	Museum	58.135206	-4.933057	267.2	2673	0.262604094	0.941899516692	F	839	18481	102269301	2115901698	0.426645	70.233	0.0643489	0.0527859	nonAlps
A341	Cave	LongBone	Postcrania	Museum	40.58843	276.733	281.3	NA	0.008453727	0.525165184289	M	290	11411	102269301	2115901698	0.445728	43.8409	0.168792	0.156973	nonAlps
A3643	Cave	Podial	Postcrania	Museum	48.053486	16.075301	370.9	10870	0.031665887	0.945123195956	F	841	18459	102269301	2115901698	0.406146	61.0605	0.0848647	0.0901344	Alps
A3644	Cave	Podial	Postcrania	Museum	47.666667	13.816667	1379.6	6615	0.063682419	0.518239644941	M	471	18787	102269301	2115901698	0.414141	70.6611	0.0618557	0.0495778	Alps
A3645	Cave	Tooth	Crania	Museum	47.75695	12.28742	1328.1	11872	0.201163378	0.493058966448	M	451	18931	102269301	2115901698	0.426422	68.1447	0.0602764	0.0840108	Alps
A3646	Cave	LongBone	Postcrania	Museum	45.972524	11.673113	663.3	11900	0.010488801	0.544734481996	M	247	9361	102269301	2115901698	0.435558	61.6463	0.0538543	0.156137	Alps
A3647	Cave	LongBone	Postcrania	Museum	46.976806	8.834289	1495.4	9700	0.016937234	0.871770875766	F	466	11128	102269301	2115901698	0.429075	52.1313	0.0957874	0.130836	Alps
A3648	Cave	LongBone	Postcrania	Museum	46.976806	8.834289	1495.4	9700	0.029558977	0.933794939402	F	836	18582	102269301	2115901698	0.378615	53.742	0.079567	0.0661265	Alps
A3649	Cave	Tooth	Crania	Museum	46.976806	8.834289	1495.4	3275	0.192521145	0.91064101823	F	818	18665	102269301	2115901698	0.422636	66.5745	0.0593279	0.0911594	Alps
A3650	Cave	NA	NA	Museum	46.976806	8.834289	1495.4	4135	0.074784773	0.476937852491	M	432	18761	102269301	2115901698	0.424949	65.6626	0.063668	0.0531136	Alps
A3651	Cave	NA	NA	Museum	47.613552	15.236769	1187	2935	0.053369929	0.958738392198	F	862	18639	102269301	2115901698	0.418746	67.331	0.0747209	0.066739	Alps
A3928	Sediment	LongBone	Postcrania	Museum	55.702466	11.368346	57.4	NA	0.003795723	0.938649570954	F	644	14237	102269301	2115901698	0.481837	45.7891	0.0972973	0.073119	nonAlps
A407	Sediment	Vertebrae	Postcrania	Museum	70.583333	147.166667	78.6	30660	0.0094959	0.412456036817	M	123	6196	102269301	2115901698	0.42468	70.2608	0.0668543	0.125822	nonAlps
A4098	Cave	LongBone	Postcrania	Museum	44.166441	40.000167	1111.8	42900	0.013817362	0.457837854762	M	284	12860	102269301	2115901698	0.430104	56.8508	0.125694	0.12572	nonAlps
A5883	Cave	Tooth	Crania	Museum	41.683333	125.766667	429.4	NA	0.002701145	0.485760880526	M	235	10016	102269301	2115901698	0.547737	35.6769	0.0468208	0.0535177	nonAlps
A5889	Cave	Tooth	Crania	Museum	40.579417	122.973889	161.8	NA	0.006116115	0.46823967668	M	422	18675	102269301	2115901698	0.474306	47.38	0.152086	0.0781207	nonAlps
A95	Cave	Podial	Postcrania	Museum	58.0971	57.4379	211.1	NA	0.143272619	0.528077293997	M	485	18976	102269301	2115901698	0.435872	63.4067	0.0264293	0.0141085	nonAlps
A96	Sediment	LongBone	Postcrania	Museum	58.033333	68.85	45	NA	0.004882673	0.508265863568	M	216	8789	102269301	2115901698	0.435477	50.9056	0.133698	0.0454928	nonAlps
A99	Cave	Tooth	Crania	Museum	60.42	60.22	167.1	NA	0.250701542	0.470804142344	M	425	18703	102269301	2115901698	0.432249	70.1365	0.0163369	0.0333855	nonAlps
