sample	sex	site_type	material	material2	lat	lon	alt	age	endog	Nx	Na	Lx	La	GC	readlen	C2T	G2A
A17690	F	Sediment	Petrosal	Crania	64.064494	218.100016	517.2	30276	0.628785173374	981	18986	148823899	2512082506	0.428408	56.3332	0.0980554	0.100622
A17691	M	Sediment	Petrosal	Crania	64.064494	218.100016	517.2	NA	NA	532	19206	148823899	2512082506	0.440572	51.6754	0.0873418	0.0617206
A17692	M	Sediment	Petrosal	Crania	66.257407	198.650906	2.6	26485	0.643135593556	532	19392	148823899	2512082506	0.427946	53.7788	0.125993	0.10653
A17693	M	Sediment	Petrosal	Crania	65.31839	217.200075	211.8	47591	0.647370482097	525	19557	148823899	2512082506	0.419759	53.6889	0.130696	0.0941428
A17694	M	Sediment	Petrosal	Crania	66.733333	216.25	161	4958	0.628565545364	566	19104	148823899	2512082506	0.430237	55	0.0560335	0.153287
A17993	M	Sediment	OtherCrania	Crania	40.069099	45.038189	2768.3	NA	0.173257550312	584	19517	148823899	2512082506	0.411297	67.1537	0.0577626	0.101255
A17994	M	Sediment	OtherCrania	Crania	40.069099	45.038189	2768.3	NA	0.00800912760029	466	15568	148823899	2512082506	0.404541	60.6547	0.0291262	0.0222091
A18161	M	Cave	NA	NA	NA	NA	NA	3519	0.219825034251	593	19514	148823899	2512082506	0.421465	64.7965	0.102354	0.0900608
A18162	M	Cave	NA	NA	NA	NA	NA	NA	NA	566	19271	148823899	2512082506	0.416774	66.1493	0.0376788	0.0488699
A18163	F	Cave	NA	NA	NA	NA	NA	7794	0.0310424953039	1152	18623	148823899	2512082506	0.398983	68.8011	0.120085	0.127353
A18164	F	Cave	NA	NA	NA	NA	NA	NA	NA	1201	18823	148823899	2512082506	0.38857	65.1492	0.0797665	0.136608
A18675	M	Sediment	OtherCrania	Crania	48.066667	14.75	301.5	NA	0.512904089176	528	19479	148823899	2512082506	0.415321	65.864	0.0437956	0.0251266
A18676	M	Sediment	Petrosal	Crania	48.066667	14.75	301.5	NA	0.685957407856	583	19328	148823899	2512082506	0.401726	60.8104	0.0666822	0.0376102
