SampleID,ACAD Number,Sex Assignment,Location ,Region,Latitude,Site type,Bone Type,Collected From,Date,Endogenous,Endogenous2,Clonal,Raw_Mit,Uniq_Mit,Raw_Nuc,Uniq_Nuc,RatioMtNu
A115_Mega17Lib18.3,115,F,Austria,Europe,47.814673,Cave,Long Bone,Museum,2264,0.49235763,0.49235763,0.027572627,1858,1813,623835,606628,0.002988652
A116_Mega17Lib18.4,116,F,Austria,Europe,47.998266,Cave,Long Bone,Museum,3643,0.191658215,0.191658215,0.02986759,2071,1999,300096,291143,0.006866042
A117_MEGA17LIB4.1,117,F,Austria,Europe,47.502032,Cave,Tooth,Museum,9985,0.042310717,0.042310717,0.01831602,136,135,40102,39366,0.003429355
A119_Mega17Lib18.5,119,F,Austria,Europe,47.684276,Cave,Tooth,Museum,1985,0.278483949,0.278483949,0.02612336,73,72,412929,402141,0.000179042
A120_Mega17Lib18.6,120,F,Austria,Europe,47.701354,Cave,Tooth,Museum,3321,0.106014916,0.106014916,0.025790132,86,84,167924,163593,0.000513469
A123_Mega17Lib18.7,123,F,Austria,Europe,47.684276,Cave,Long Bone,Museum,2530,0.394912507,0.394912507,0.032488614,2492,2403,722285,698827,0.003438619
A127_Mega17Lib18.8,127,F,Austria,Europe,47.804628,Cave,Long Bone,Museum,3130,0.443968423,0.443968423,0.044549902,2152,2041,754550,720950,0.002830987
A130_Mega17Lib18.9,130,M,Austria,Europe,47.678945,Cave,Tooth,Museum,9810,0.061303205,0.061303205,0.025833532,146,143,92292,89907,0.001590532
A131_Mega17Lib24.1,131,F,Russia,Eurasia,62.402971,Anthropogenic,Undefined,Museum,0,0.438654804,0.438654804,0.012110884,516,512,890831,880040,0.000581792
A132_Mega17Lib24.2,132,M,Russia,Eurasia,60.333333,Anthropogenic,Undefined,Museum,0,0.366355699,0.366355699,0.01211941,291,290,746280,737233,0.000393363
A133_Mega17Lib24.3,133,M,Russia,Eurasia,62.402971,Anthropogenic,Undefined,Museum,0,0.372794851,0.372794851,0.028972633,1993,1938,1272313,1235448,0.001568662
A134_Mega17Lib24.4,134,M,Russia,Eurasia,62.839775,Anthropogenic,Undefined,Museum,0,0.237962302,0.237962302,0.023611981,5113,4993,941398,919169,0.00543208
A136_Mega17Lib24.6,136,M,Russia,Eurasia,44.01073,Anthropogenic,Undefined,Museum,0,0.055392584,0.055392584,0.013131284,2044,2012,173491,171218,0.011751101
A137_MEGA17LIB2.1,137,M,Russia,Eurasia,43.836111,Anthropogenic,Undefined,Museum,0,0.1059339,0.1059339,0.021847975,414,405,100648,98449,0.004113805
A138_Mega17Lib24.7,138,F,Russia,Eurasia,55.835706,Anthropogenic,Undefined,Museum,0,0.192088391,0.192088391,0.021146133,10678,10370,646558,632968,0.016383135
A140_Mega17Lib24.9,140,F,Russia,Eurasia,61.057721,Anthropogenic,Undefined,Museum,0,0.520573012,0.520573012,0.013068524,739,731,1363914,1346088,0.000543055
A141_Mega17Lib24.10,141,F,Russia,Eurasia,56.10973,Anthropogenic,Undefined,Museum,0,0.573942863,0.573942863,0.01449694,1366,1342,1954633,1926301,0.000696672
A142_Mega17Lib24.11,142,M,Russia,Eurasia,67.616667,Anthropogenic,Undefined,Museum,0,0.335079084,0.335079084,0.018562842,1227,1209,1123924,1103056,0.001096046
A145_Mega17Lib24.12,145,M,Russia,Eurasia,60,Anthropogenic,Undefined,Museum,0,0.028823204,0.028823204,0.013375486,170,168,73846,72858,0.002305855
A146_Mega17Lib24.13,146,M,Russia,Eurasia,56.10973,Anthropogenic,Undefined,Museum,0,0.563635332,0.563635332,0.014089224,2991,2943,2528873,2493249,0.001180388
A147_Mega17Lib24.14,147,M,Russia,Eurasia,60.083333,Anthropogenic,Undefined,Museum,0,0.059561135,0.059561135,0.045670104,1126,1084,198567,189489,0.005720649
